Classifier,Weighted,Epochs,EmbeddingSize,HiddenSize,NumLayers,KernelSize,Dropout,BatchSize,LearningRate,Accuracy,F1,NegF1,PosF1
CNN,True,30,32,32,N/A,5,0.1,100,0.001,0.6067415730337079,0.6107161779115603,0.4154929577464788,0.6337579617834395
CNN,True,30,32,32,N/A,5,0.0,100,0.001,0.5517241379310345,0.5631295942844448,0.3981308411214953,0.5727019498607242
CNN,True,30,32,128,N/A,1,0.1,100,0.001,0.614103060829136,0.6078671899109671,0.3658170914542729,0.62
CNN,True,30,64,[32|32],N/A,[1|3|5],0.0,100,0.001,0.5586981790003874,0.5631931558051186,0.37674418604651166,0.5901477832512314
CNN,True,30,128,128,N/A,[1|3],0.0,100,0.001,0.597830298333979,0.5919090587619653,0.35294117647058826,0.5921052631578948
CNN,True,30,32,[64|64],N/A,[1|3|5],0.0,100,0.001,0.562185199535064,0.5620127933646673,0.34454912516823694,0.5868433506862281
CNN,True,30,32,[32|32],N/A,[1|3|5],0.0,100,0.001,0.5021309569934134,0.4559764870238366,0.19624217118997914,0.601018675721562
CNN,True,30,128,64,N/A,[1|3],0.0,100,0.001,0.6005424254165053,0.6000625085610088,0.39281437125748503,0.5871990604815033
CNN,True,30,64,[64|64],N/A,[1|3|5],0.0,100,0.001,0.4649360712901976,0.45172153479537774,0.37659414853713424,0.5976491862567812
CNN,True,30,32,64,N/A,1,0.1,100,0.001,0.5916311507167764,0.5924384503964749,0.4161412358133669,0.6326148078725398
CNN,True,30,128,[128|128],N/A,3,0.1,100,0.001,0.5029058504455637,0.5305479612915169,0.3536668951336532,0.5885780885780886
CNN,True,30,32,[128|128],N/A,5,0.0,100,0.001,0.5594730724525377,0.5236179303093267,0.25735294117647056,0.4531043593130779
CNN,True,30,128,[32|32],N/A,5,0.1,100,0.001,0.5401007361487795,0.5606621441011632,0.37085020242914973,0.593946316390634
CNN,True,30,32,64,N/A,5,0.0,100,0.001,0.5660596667958155,0.571064684001146,0.3722466960352423,0.5698134539287733
CNN,True,30,32,64,N/A,5,0.1,100,0.001,0.548237117396358,0.5255809198236514,0.24,0.6081601231716705
CNN,True,30,32,64,N/A,[1|3|5],0.0,100,0.001,0.5648973266175901,0.5492951408676187,0.3025830258302583,0.6178266178266179
CNN,True,30,64,[128|128],N/A,[1|3],0.1,100,0.001,0.5036807438977141,0.5308283429370039,0.35684647302904565,0.5709177592371871
CNN,True,30,32,[128|128],N/A,[1|3],0.1,100,0.001,0.5513366912049593,0.555580232152324,0.3723986856516977,0.6110599078341015
CNN,True,30,64,32,N/A,[1|3],0.0,100,0.001,0.5757458349476947,0.5695880227185594,0.3850746268656716,0.6228668941979522
CNN,True,30,128,32,N/A,[1|3],0.0,100,0.001,0.5955056179775281,0.5862307642490044,0.3535528596187175,0.6178107606679035
CNN,True,30,32,128,N/A,[1|3|5],0.0,100,0.001,0.5106547849670671,0.4865135157079699,0.33576642335766427,0.6011090573012939
CNN,True,30,32,128,N/A,5,0.1,100,0.001,0.5939558310732275,0.5713514471177665,0.2020618556701031,0.6146660439047175
CNN,True,30,32,128,N/A,5,0.0,100,0.001,0.5947307245253778,0.5764781203083211,0.24852071005917162,0.6222826086956522
CNN,True,30,32,[128|128],N/A,3,0.1,100,0.001,0.5211158465710964,0.4900396506159499,0.30935251798561153,0.6077387291444799
CNN,True,30,128,64,N/A,3,0.0,100,0.001,0.5846571096474235,0.5867928609809959,0.4052863436123348,0.566350710900474
CNN,True,30,128,[128|128],N/A,[1|3|5],0.1,100,0.001,0.571871367686943,0.5792875203580088,0.3940677966101695,0.6190009794319296
CNN,True,30,32,[128|128],N/A,1,0.1,100,0.001,0.5486245641224332,0.5427576149949958,0.4030808729139923,0.6108786610878661
CNN,True,30,64,32,N/A,1,0.0,100,0.001,0.6288260364199922,0.6169596999281722,0.3829113924050632,0.6066513761467889
CNN,True,30,32,32,N/A,3,0.0,100,0.001,0.5792328554823711,0.5687757811684393,0.4067415730337079,0.49763353617309
CNN,True,30,128,128,N/A,3,0.0,100,0.001,0.6005424254165053,0.6054430485912727,0.417910447761194,0.6349678058444774
CNN,True,30,64,32,N/A,3,0.0,100,0.001,0.5218907400232468,0.5450157455324989,0.35960214231063503,0.5562608193883438
CNN,True,30,128,[64|64],N/A,3,0.0,100,0.001,0.5955056179775281,0.5760726599226343,0.29764065335753176,0.5688073394495412
CNN,True,30,64,128,N/A,3,0.0,100,0.001,0.597830298333979,0.5727068572370488,0.3054545454545454,0.5390769230769231
CNN,True,30,32,128,N/A,[1|3],0.0,100,0.001,0.6063541263076327,0.596628304439288,0.34237288135593213,0.6094588005850805
CNN,True,30,32,[64|64],N/A,1,0.1,100,0.001,0.5137543587756683,0.5349103534743759,0.3841247342310418,0.5936277249860258
CNN,True,30,32,[32|32],N/A,1,0.1,100,0.001,0.5745834947694692,0.5643705013434966,0.33548387096774196,0.6258223684210527
CNN,True,30,32,64,N/A,[1|3],0.0,100,0.001,0.48973266175900815,0.5129136612560146,0.3651226158038147,0.562536023054755
CNN,True,30,64,64,N/A,3,0.0,100,0.001,0.5656722200697404,0.5518701578184724,0.31597845601436264,0.6140137707573916
CNN,True,30,128,[32|32],N/A,3,0.0,100,0.001,0.5168539325842697,0.48318222166553826,0.25831702544031315,0.6018322762508809
CNN,True,30,64,[128|128],N/A,3,0.1,100,0.001,0.5784579620302208,0.573660012233175,0.3746312684365781,0.6187607573149742
CNN,True,30,64,[128|128],N/A,3,0.0,100,0.001,0.5164664858581945,0.4949259233849256,0.2979397781299525,0.5969595847237672
CNN,True,30,64,64,N/A,1,0.0,100,0.001,0.6419992251065478,0.6285669716540084,0.40197693574958815,0.6168981481481483
CNN,True,30,128,[32|32],N/A,1,0.0,100,0.001,0.6009298721425804,0.5982424864651928,0.39330543933054396,0.6105263157894737
CNN,True,30,128,[64|64],N/A,1,0.0,100,0.001,0.5803951956605967,0.5902548309208552,0.4015904572564612,0.5964125560538117
CNN,True,30,64,128,N/A,1,0.0,100,0.001,0.5862068965517241,0.5550287328467071,0.33049403747870526,0.4827586206896552
CNN,True,30,64,32,N/A,3,0.1,100,0.001,0.515304145679969,0.47995355991309424,0.31910946196660483,0.6020689655172414
CNN,True,30,128,32,N/A,3,0.0,100,0.001,0.5982177450600542,0.5998415150360202,0.41449603624009057,0.5873297809354647
CNN,True,30,32,[64|64],N/A,3,0.1,100,0.001,0.6032545524990314,0.5864629288723312,0.2953020134228188,0.5814622913068509
CNN,True,30,64,[64|64],N/A,3,0.0,100,0.001,0.5098798915149167,0.5341904621000847,0.3551673944687045,0.5388409371146732
CNN,True,30,64,[64|64],N/A,3,0.1,100,0.001,0.5958930647036033,0.5723693891747341,0.21161825726141079,0.6001974333662389
CNN,True,30,64,[64|64],N/A,1,0.0,100,0.001,0.5908562572646261,0.5649097094460616,0.3304647160068847,0.5115681233933161
CNN,True,30,64,[32|32],N/A,1,0.0,100,0.001,0.6059666795815576,0.5810667202041009,0.2709163346613546,0.5766381766381767
CNN,True,30,64,[32|32],N/A,3,0.1,100,0.001,0.597830298333979,0.587674708266139,0.42585551330798477,0.5344387755102041
CNN,True,30,64,[32|32],N/A,3,0.0,100,0.001,0.5203409531189461,0.49573934035839806,0.3010033444816053,0.6050978943479867
CNN,True,30,32,[32|32],N/A,3,0.1,100,0.001,0.5102673382409919,0.5247575875100651,0.36798803290949894,0.4809782608695652
CNN,True,30,128,[64|64],N/A,[1|3|5],0.0,100,0.001,0.6063541263076327,0.5894939750222,0.28076923076923077,0.6207565470417069
CNN,True,30,32,32,N/A,3,0.1,100,0.001,0.5769081751259202,0.5802584544882055,0.3479318734793188,0.6207224334600762
CNN,True,30,64,128,N/A,3,0.1,100,0.001,0.6175900813638124,0.6063289594347866,0.38222222222222224,0.5859188544152745
CNN,True,30,128,128,N/A,1,0.1,100,0.001,0.5118171251452925,0.47046642708255143,0.3079922027290449,0.6034424569692878
CNN,True,30,128,128,N/A,1,0.0,100,0.001,0.5354513754358776,0.5093297849911125,0.34234234234234234,0.610752688172043
CNN,True,30,128,64,N/A,1,0.0,100,0.001,0.5408756296009298,0.5537436456285704,0.4060657118786858,0.6083807553026384
CNN,True,30,128,64,N/A,1,0.1,100,0.001,0.5385509492444789,0.5191164500774478,0.3958060288335518,0.6258089074990485
CNN,True,30,64,64,N/A,3,0.1,100,0.001,0.5249903138318481,0.5473174538311091,0.38102297998517415,0.5742345465049105
CNN,True,30,32,[128|128],N/A,3,0.0,100,0.001,0.5517241379310345,0.5596197280100497,0.37115588547189815,0.5930470347648262
CNN,True,30,128,[32|32],N/A,[1|3|5],0.0,100,0.001,0.5215032932971716,0.49611020727723093,0.29310344827586204,0.6038842066691096
CNN,True,30,32,64,N/A,3,0.1,100,0.001,0.5885315769081751,0.5502724259228339,0.2824858757062147,0.4832764505119454
CNN,True,30,128,[128|128],N/A,[1|3|5],0.0,100,0.001,0.5757458349476947,0.573086995755647,0.35244755244755244,0.6185472818638648
CNN,True,30,64,[128|128],N/A,1,0.0,100,0.001,0.5377760557923286,0.5470673641112082,0.36710130391173523,0.5923664122137405
CNN,True,30,64,[128|128],N/A,1,0.1,100,0.001,0.5102673382409919,0.4766138869276471,0.3011152416356877,0.5954782608695652
CNN,True,30,128,[128|128],N/A,1,0.0,100,0.001,0.6020922123208059,0.5868011858965677,0.2943396226415094,0.6139670223084384
CNN,True,30,128,32,N/A,1,0.1,100,0.001,0.6055792328554823,0.6075986631620751,0.41588785046728977,0.6060606060606061
CNN,True,30,128,32,N/A,1,0.0,100,0.001,0.5668345602479659,0.5740029076960241,0.3992467043314501,0.543424317617866
CNN,True,30,64,32,N/A,1,0.1,100,0.001,0.6172026346377373,0.5950957323885299,0.32499999999999996,0.5749086479902558
CNN,True,30,128,32,N/A,[1|3|5],0.1,100,0.001,0.5714839209608679,0.5692556510006115,0.4040150564617315,0.6327433628318585
CNN,True,30,32,128,N/A,3,0.1,100,0.001,0.6160402944595118,0.5934509191649937,0.28174603174603174,0.6001103143960286
CNN,True,30,32,[64|64],N/A,3,0.0,100,0.001,0.550561797752809,0.5068673459213924,0.24275362318840582,0.4149085794655415
CNN,True,30,128,[64|64],N/A,[1|3|5],0.1,100,0.001,0.5331266950794266,0.517385513440959,0.3272727272727273,0.6026465028355387
CNN,True,30,64,128,N/A,1,0.1,100,0.001,0.5571483920960868,0.5536931578114842,0.4601226993865031,0.6287978863936592
CNN,True,30,128,[64|64],N/A,1,0.1,100,0.001,0.5432003099573809,0.5630821110197869,0.36872427983539097,0.5848502642395771
CNN,True,30,128,[32|32],N/A,1,0.1,100,0.001,0.6288260364199922,0.621857927563324,0.43750000000000006,0.61151481274455
CNN,True,30,64,64,N/A,1,0.1,100,0.001,0.5838822161952731,0.5520841109972946,0.37632776934749623,0.45409252669039146
